month,region,channel,customers,orders,avg_order_value,revenue,support_tickets
January,North,Organic,1200,850,82,69700,95
January,South,Paid,1050,720,79,56880,110
January,West,Organic,980,690,85,58650,88
February,North,Organic,1240,880,83,73040,92
February,South,Paid,1080,750,80,60000,105
February,West,Organic,1010,710,86,61060,91
March,North,Organic,1280,910,84,76440,90
March,South,Paid,1120,780,81,63180,108
March,West,Organic,1040,740,87,64380,89
April,North,Organic,1310,930,85,79050,94
April,South,Paid,1150,800,82,65600,112
April,West,Organic,1070,760,88,66880,93
May,North,Organic,1350,960,86,82560,91
May,South,Paid,1180,820,83,68060,115
May,West,Organic,1100,790,89,70310,90
June,North,Organic,1390,990,87,86130,96
June,South,Paid,1210,840,84,70560,118
June,West,Organic,1130,810,90,72900,92
July,North,Organic,1430,1020,88,89760,97
July,South,Paid,1240,860,85,73100,121
July,West,Organic,1160,830,91,75530,94
August,North,Organic,1450,1010,82,82820,105
August,South,Paid,1260,790,70,55300,210
August,West,Organic,1180,820,85,69700,103
